"Name of institution";"Type of institution - 1. Level";"Type of institution - 2. Level";"Type of institution - 3. Level";"Address main location: Street No.";"Address main location: Postal code";"Address main location: City";"Web address";"Count of employees [1]";"Foundation year";Twitter;"Profile text";"Secondary locations";"Keywords [2]"
"Historische Kommission zu Berlin e. V. (HiKo)";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Berlin;"Jägerstraße 22/23";10117;Berlin;www.hiko-berlin.de;3;1959;;"Die Historische Kommission ist eine wissenschaftliche Vereinigung, die sich als eine der wenigen außeruniversitären Forschungseinrichtungen in Berlin der historischen Erforschung Berlins, Brandenburgs und Preußens widmet. Ziel ist es, durch wissenschaftliche Projekte, Publikationen, Vorträge und Tagungen Forschungen zu initiieren und die Ergebnisse der Gesellschaft nachhaltig – auch digital per Open Access – zur Verfügung zu stellen. Die HiKo fördert den wissenschaftlichen Nachwuchs in dem eigenen Netzwerk HiKo_21 und bietet ein modernes Internetportal zu 100 Schlüsselquellen an. 1959 wiederbegründet, wird die Kommission durch 114 Expertinnen und Experten disziplin- und länderübergreifend getragen.";Berlin;"Geschichte und Archäologie"
"Historisches Kolleg";"Landeseinrichtungen mit FuE-Aufgaben";"Landeseinrichtungen mit FuE-Aufgaben";Bayern;"Kaulbachstraße 15";80539;München;www.historischeskolleg.de;5;1980;;"Das Historische Kolleg ist ein Institute for Advanced Study in History. Es gewährt Wissenschaftlerinnen und Wissenschaftlern (Professorinnen, Professoren und PostDocs) durch in der Regel einjährige Stipendien den Freiraum, konzentriert ein Buchprojekt abzuschließen. Seinen Sitz hat das Historische Kolleg seit 1988 in der zwischen Bayerischer Staatsbibliothek und Englischem Garten gelegenen Kaulbach-Villa. Mit zahlreichen wissenschaftlichen Veranstaltungen ist das Historische Kolleg überdies ein herausragender Ort der Fachdiskussion im Bereich der Geschichtswissenschaften. Seit 1983 verleiht das Historische Kolleg alle drei Jahre den mit 30.000 Euro dotierten Preis des Historischen Kollegs.";;"Geschichte und Archäologie"
"HMKW Hochschule für Medien, Kommunikation und Wirtschaft";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Ackerstraße 76";13355;Berlin;www.hmkw.de;;2008;;;;
"Hochschule  für  angewandte  Wissenschaften  Weihenstephan-Triesdorf";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Am Hofgarten 4";85354;Freising;www.hswt.de;;1971;;;;
"hochschule 21";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Harburger Straße 6";21614;Buxtehude;www.hs21.de;;2005;;;;
"Hochschule Aalen - Technik und Wirtschaft";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Beethovenstraße 1";73430;Aalen;www.hs-aalen.de;;1962;;;;
"Hochschule Albstadt-Sigmaringen";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Anton-Günther-Straße 51";72488;Sigmaringen;www.hs-albsig.de;;1971;;;;
"Hochschule Anhalt - Anhalt University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Bernburger Straße 55";06366;Köthen;www.hs-anhalt.de;;1991;;;;
"Hochschule Biberach - Hochschule für Architektur und Bauwesen, Betriebswirtschaft und Biotechnologie";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Karlstraße 11";88400;Biberach;www.hochschule-biberach.de;;1964;;;;
"Hochschule Bochum - University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Am Hochschulcampus 1";44801;Bochum;www.hochschule-bochum.de;;1971;;;;
"Hochschule Bonn-Rhein-Sieg, University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Grantham-Allee 20";53757;"Sankt Augustin";www.h-brs.de;;1995;;;;
"Hochschule Braunschweig/Wolfenbüttel, Ostfalia Hochschule für angewandte Wissenschaften";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Salzdahlumer Straße 46/48";38302;Wolfenbüttel;www.ostfalia.de;;1971;;;;
"Hochschule Bremen";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Neustadtwall 30";28199;Bremen;www.hs-bremen.de;;1982;;;;
"Hochschule Bremerhaven";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"An der Karlstadt 8";27568;Bremerhaven;www.hs-bremerhaven.de;;1975;;;;
"Hochschule Darmstadt";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Schöfferstraße 3";64295;Darmstadt;www.h-da.de;;1876;;;;
"Hochschule der Bayerischen Wirtschaft für angewandte Wissenschaften - HDBW";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Konrad-Zuse-Platz 8";81829;München;www.hdbw-hochschule.de;;2012;;;;
"Hochschule der bildenden Künste (HBK) Essen";Hochschulen;"Künstlerische Hochschulen";"privat, staatlich anerkannt";"Prinz-Friedrich-Str. 28 A";45257;Essen;www.hbk-essen.de;;2013;;;;
"Hochschule der Bildenden Künste Saar";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Keplerstraße 3-5";66117;Saarbrücken;www.hbksaar.de;;1989;;;;
"Hochschule der Bundesagentur für Arbeit - Staatlich anerkannte Hochschule für angewandte Wissenschaft in Mannheim und Schwerin (University of Applied Labour Studies of the Federal Employment Agency)";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Seckenheimer Landstraße 16";68163;Mannheim;www.hdba.de;;2006;;;;
"Hochschule der Deutschen Bundesbank";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;Schloss;57627;Hachenburg;www.hochschule-bundesbank.de;;1980;;;;
"Hochschule der Medien Stuttgart";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Nobelstraße 10";70569;Stuttgart;www.hdm-stuttgart.de;;1903;;;;
"Hochschule der Polizei Rheinland-Pfalz";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Hunsrück Drive";55491;Büchenbeuren;www.polizei.rlp.de/de/die-polizei/dienststellen/hochschule-der-polizei-rheinland-pfalz;;;;;;
"Hochschule der Sächsischen Polizei (FH)";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Friedensstraße 120";02929;Rothenburg;www.polizei.sachsen.de/de/polfh.htm;;1994;;;;
"Hochschule der Wirtschaft für Management";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Oskar-Meixner-Straße 4-6";68163;Mannheim;www.hdwm.de;;2011;;;;
"Hochschule des Bundes für öffentliche Verwaltung";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Willy-Brandt-Straße 1";50321;Brühl;www.hsbund.de;;1978;;;;
"Hochschule Düsseldorf";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Münsterstraße 156";40476;Düsseldorf;www.hs-duesseldorf.de;;1971;;;;
"Hochschule Emden/Leer";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Constantiaplatz 4";26723;Emden;www.hs-emden-leer.de;;2009;;;;
"Hochschule Esslingen";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Kanalstraße 33";73728;Esslingen;www.hs-esslingen.de;;1868;;;;
"Hochschule Flensburg";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Kanzleistraße 91-93";24943;Flensburg;www.hs-flensburg.de;;1886;;;;
"Hochschule Fresenius";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Limburger Straße 2";65510;Idstein;www.hs-fresenius.de;;1848;;;;
"Hochschule Fresenius Heidelberg – staatlich anerkannte Hochschule der Hochschule Fresenius für Internationales Management GmbH";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Sickingenstraße 63-65";69126;Heidelberg;www.hs-fresenius.de;;2012;;;;
"Hochschule für angewandte Pädagogik";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Ostendstraße 1";12459;Berlin;www.hsap.de;;2013;;;;
"Hochschule für angewandte Wissenschaften Ansbach";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Residenzstraße 8";91522;Ansbach;www.hs-ansbach.de;;1996;;;;
"Hochschule für angewandte Wissenschaften Augsburg - University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"An der Hochschule 1";86161;Augsburg;www.hs-augsburg.de;;1710;;;;
"Hochschule für angewandte Wissenschaften Coburg";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Friedrich-Streib-Straße 2";96450;Coburg;www.hs-coburg.de;;1814;;;;
"Hochschule für Angewandte Wissenschaften Hamburg";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Berliner Tor 5";20099;Hamburg;www.haw-hamburg.de;;1970;;;;
"Hochschule für Angewandte Wissenschaften Hof";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Alfons-Goppel-Platz 1";95028;Hof;www.hof-university.de;;1994;;;;
"Hochschule für angewandte Wissenschaften Kempten";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Bahnhofstraße 61";87435;Kempten;www.hs-kempten.de;;1977;;;;
"Hochschule für angewandte Wissenschaften München";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Lothstr. 34";80335;München;www.hm.edu;;1971;;;;
"Hochschule für angewandte Wissenschaften Neu-Ulm";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Wileystraße 1";89231;Neu-Ulm;www.hnu.de;;1994;;;;
"Hochschule für angewandte Wissenschaften Würzburg-Schweinfurt (FHWS)";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Münzstraße 12";97070;Würzburg;www.fhws.de;;1971;;;;
"Hochschule für angewandtes Management";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Steinheilstraße 4";85737;Ismaning;www.fham.de;;2004;;;;
"Hochschule für Bildende Künste (Städelschule)";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Dürerstraße 10";60596;Frankfurt;www.staedelschule.de;;1817;;;;
"Hochschule für Bildende Künste Braunschweig";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Johannes-Selenka-Platz 1";38118;Braunschweig;www.hbk-bs.de;;1963;;;;
"Hochschule für Bildende Künste Dresden";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Güntzstraße 34";01307;Dresden;www.hfbk-dresden.de;;1764;;;;
"Hochschule für Bildende Künste Hamburg";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Lerchenfeld 2";22081;Hamburg;www.hfbk-hamburg.de;;1767;;;;
"Hochschule für den öffentlichen Dienst in Bayern";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Wagmüllerstraße 20";80538;München;www.fhvr.bayern.de;;;;;;
"Hochschule für evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern";Hochschulen;"Künstlerische Hochschulen";"kirchlich, staatlich anerkannt";"Wilhelminenstraße 9";95444;Bayreuth;www.hfk-bayreuth.de;;2000;;;;
"Hochschule für Fernsehen und Film München";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Bernd-Eichinger-Platz 1";80333;München;www.hff-muc.de;;1966;;;;
"Hochschule für Finanzen NRW";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;Schloßstraße;59394;Nordkirchen;www.finanzverwaltung.nrw.de/de/duales-studium-der-hsf-nrw;;1976;;;;
"Hochschule für Finanzen Rheinland-Pfalz";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Luitpoldstraße 33";67480;Edenkoben;landesfinanzschule-edenkoben.fin-rlp.de/hochschule;;;;;;
"Hochschule für Finanzwirtschaft & Management GmbH";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Simrockstraße 4";53113;Bonn;www.s-hochschule.de;;2003;;;;
"Hochschule für Forstwirtschaft Rottenburg";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;Schadenweilerhof;72108;Rottenburg;www.hs-rottenburg.net;;1954;;;;
"Hochschule für Gestaltung Offenbach";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Schloßstraße 31";63065;Offenbach;www.hfg-offenbach.de;;1970;;;;
"Hochschule für Gestaltung Schwäbisch Gmünd";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Rektor-Klaus-Str. 100";73525;"Schwäbisch Gmünd";www.hfg-gmuend.de;;1909;;;;
"Hochschule für Gesundheit - University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Gesundheitscampus 6-8";44801;Bochum;www.hs-gesundheit.de;;2009;;;;
"Hochschule für Grafik und Buchkunst Leipzig";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Wächterstraße 11";04107;Leipzig;www.hgb-leipzig.de;;1764;;;;
"Hochschule für Jüdische Studien Heidelberg";Hochschulen;Universitäten;"privat, staatlich anerkannt";"Landfriedstraße 12";69117;Heidelberg;www.hfjs.eu;;1979;;;;
"Hochschule für Katholische Kirchenmusik und Musikpädagogik";Hochschulen;"Künstlerische Hochschulen";"kirchlich, staatlich anerkannt";"Andreasstraße 9";93059;Regensburg;www.hfkm-regensburg.de;;2001;;;;
"Hochschule für Kirchenmusik der Diözese Rottenburg-Stuttgart";Hochschulen;"Künstlerische Hochschulen";"kirchlich, staatlich anerkannt";"St.-Meinrad-Weg 6";72108;Rottenburg;www.kirchenmusik-hochschule.org;;1949;;;;
"Hochschule für Kirchenmusik der Evangelisch-Lutherischen Landeskirche Sachsens";Hochschulen;"Künstlerische Hochschulen";"kirchlich, staatlich anerkannt";"Käthe Kollwitz Ufer 97";01309;Dresden;www.kirchenmusik-dresden.de;;1949;;;;
"Hochschule für Kirchenmusik der Evangelischen Kirche von Westfalen";Hochschulen;"Künstlerische Hochschulen";"kirchlich, staatlich anerkannt";"Parkstr. 6";32049;Herford;www.hochschule-kirchenmusi.de;;1948;;;;
"Hochschule für Kirchenmusik der Evangelischen Landeskirche in Baden";Hochschulen;"Künstlerische Hochschulen";"kirchlich, staatlich anerkannt";"Hildastr. 8";69115;Heidelberg;www.hfk-heidelberg.de;;1931;;;;
"Hochschule für Kirchenmusik der Evangelischen Landeskirche in Württemberg";Hochschulen;"Künstlerische Hochschulen";"kirchlich, staatlich anerkannt";"Gartenstraße 12";72074;Tübingen;www.kirchenmusikhochschule.de;;1945;;;;
"Hochschule für Kommunikation und Gestaltung";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Kölner Straße 38";70376;Stuttgart;www.hfk-bw.de;;2013;;;;
"Hochschule für Künste Bremen";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Am Speicher XI 8";28217;Bremen;www.hfk-bremen.de;;1873;;;;
"Hochschule für Künste im Sozialen, Ottersberg";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Am Wiestebruch 68";28870;Ottersberg;www.hks-ottersberg.de;;1967;;;;
"Hochschule für Musik Carl Maria von Weber Dresden";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Wettiner Platz 13";01067;Dresden;www.hfmdd.de;;1856;;;;
"Hochschule für Musik Detmold";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Neustadt 22";32756;Detmold;www.hfm-detmold.de;;1946;;;;
"Hochschule für Musik Franz Liszt Weimar";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Platz der Demokratie 2/3";99423;Weimar;www.hfm-weimar.de;;1872;;;;
"Hochschule für Musik Freiburg im Breisgau";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Mendelssohn-Bartholdy-Platz 1";79102;Freiburg;www.mh-freiburg.de;;1946;;;;
"Hochschule für Musik Hanns Eisler Berlin";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Charlottenstraße 55";10117;Berlin;www.hfm-berlin.de;;1950;;;;
"Hochschule für Musik Karlsruhe";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Am Schloss Gottesaue 7";76131;Karlsruhe;www.hfm-karlsruhe.de;;1812;;;;
"Hochschule für Musik Nürnberg";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Veilhofstraße 34";90489;Nürnberg;www.hfm-nuernberg.de;;2008;;;;
"Hochschule für Musik Saar";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Bismarckstraße 1";66111;Saarbrücken;www.hfm.saarland.de;;1947;;;;
"Hochschule für Musik und Darstellende Kunst Frankfurt am Main";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Eschersheimer Landstraße 29-39";60322;Frankfurt;www.hfmdk-frankfurt.de;;1878;;;;
"Hochschule für Musik und Tanz Köln";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Unter Krahnenbäumen 87";50668;Köln;www.hfmt-koeln.de;;1845;;;;
"Hochschule für Musik und Theater Felix Mendelssohn Bartholdy Leipzig";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Grassistraße 8";04107;Leipzig;www.hmt-leipzig.de;;1843;;;;
"Hochschule für Musik und Theater Hamburg";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Harvestehuder Weg 12";20148;Hamburg;www.hfmt-hamburg.de;;1950;;;;
"Hochschule für Musik und Theater München";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Arcisstraße 12";80333;München;www.musikhochschule-muenchen.de;;1830;;;;
"Hochschule für Musik und Theater Rostock";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Beim St.-Katharinenstift 8";18055;Rostock;www.hmt-rostock.de;;1994;;;;
"Hochschule für Musik Würzburg";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Hofstallstraße 6-8";97070;Würzburg;www.hfm-wuerzburg.de;;1797;;;;
"Hochschule für Musik, Theater und Medien Hannover";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Neues Haus 1";30175;Hannover;www.hmtm-hannover.de;;1897;;;;
"Hochschule für nachhaltige Entwicklung Eberswalde";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Schicklerstr. 5";16225;Eberswalde;www.hnee.de;;1830;;;;
"Hochschule für Öffentliche Verwaltung Bremen";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Doventorscontrescarpe 172c";28195;Bremen;www.hfoev.bremen.de;;1979;;;;
"Hochschule für öffentliche Verwaltung Kehl";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Kinzigallee 1";77694;Kehl;www.hs-kehl.de;;1971;;;;
"Hochschule für öffentliche Verwaltung Rheinland-Pfalz";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"St.-Veit-Straße 26-28";56727;Mayen;hoev-rlp.de;;1981;;;;
"Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Reuteallee 36";71634;Ludwigsburg;www.hs-ludwigsburg.de;;1999;;;;
"Hochschule für öffentliche Verwaltung und Rechtspflege (FH), Fortbildungszentrum des Freistaates Sachsen";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Herbert-Böhme-Straße 11";01662;Meißen;www.hsf.sachsen.de;;1992;;;;
"Hochschule für Philosophie";Hochschulen;Universitäten;"kirchlich, staatlich anerkannt";"Kaulbachstraße 31";80539;München;www.hfph.de;;1925;;;;
"Hochschule für Polizei Baden-Württemberg";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Sturmbühlstraße 250";78054;Villingen-Schwenningen;www.hfpol-bw.de/index.php/villingen-schwenningen;;;;;;
"Hochschule für Polizei und öffentliche Verwaltung Nordrhein-Westfalen";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Haidekamp 73";45886;Gelsenkirchen;www.hspv.nrw.de;;1976;;;;
"Hochschule für Rechtspflege Schwetzingen";Hochschulen;Verwaltungshochschulen;öffentlich-rechtlich;"Karlsruher Straße 2";68723;Schwetzingen;www.fh-schwetzingen.de;;1953;;;;
"Hochschule für Schauspielkunst Ernst Busch";Hochschulen;"Künstlerische Hochschulen";öffentlich-rechtlich;"Zinnowitzer Straße 11";10115;Berlin;www.hfs-berlin.de;;1905;;;;
"Hochschule für Technik Stuttgart";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Schellingstraße 24";70174;Stuttgart;www.hft-stuttgart.de;;1832;;;;
"Hochschule für Technik und Wirtschaft Berlin";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Treskowallee 8";10318;Berlin;www.htw-berlin.de;;1994;;;;
"Hochschule für Technik und Wirtschaft des Saarlandes";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Goebenstraße 40";66117;Saarbrücken;www.htwsaar.de;;1971;;;;
"Hochschule für Technik und Wirtschaft Dresden - University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Friedrich-List-Platz 1";01069;Dresden;www.htw-dresden.de;;1992;;;;
"Hochschule für Technik, Wirtschaft und Kultur Leipzig";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Karl-Liebknecht-Straße 132";04277;Leipzig;www.htwk-leipzig.de;;1992;;;;
"Hochschule für Technik, Wirtschaft und Medien Offenburg";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Badstraße 24";77652;Offenburg;www.hs-offenburg.de;;1971;;;;
"Hochschule für Wirtschaft und Gesellschaft Ludwigshafen ";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Ernst-Boehe-Str. 4";67059;Ludwigshafen;www.hwg-lu.de;;1965;;;;
"Hochschule für Wirtschaft und Recht Berlin";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Badensche Straße 52";10825;Berlin;www.hwr-berlin.de;;1971;;;;
"Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Neckarsteige 6-10";72622;Nürtingen;www.hfwu.de;;1949;;;;
"Hochschule Fulda - University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Leipziger Straße 123";36037;Fulda;www.hs-fulda.de;;1974;;;;
"Hochschule Furtwangen - Informatik, Technik, Wirtschaft, Medien, Gesundheit";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Robert-Gerwig-Platz 1";78120;Furtwangen;www.hs-furtwangen.de;;1850;;;;
"Hochschule Geisenheim";Hochschulen;"Hochschulen eigenen Typs";öffentlich-rechtlich;"Von-Lade-Straße 1";65366;Geisenheim;www.hs-geisenheim.de;;2013;;;;
"Hochschule Hamm-Lippstadt";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Marker Allee 76-78";59063;Hamm;www.hshl.de;;2009;;;;
"Hochschule Hannover";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Expo Plaza 4";30539;Hannover;www.hs-hannover.de;;1971;;;;
"Hochschule Harz, Hochschule für angewandte Wissenschaften (FH)";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Friedrichstraße 57-59";38855;Wernigerode;www.hs-harz.de;;1991;;;;
"Hochschule Heilbronn, Technik, Wirtschaft, Informatik";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Max-Planck-Straße 39";74081;Heilbronn;www.hs-heilbronn.de;;1961;;;;
"Hochschule Kaiserslautern (University of Applied Sciences)";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Schoenstr. 11";67659;Kaiserslautern;www.hs-kl.de;;1996;;;;
"Hochschule Karlsruhe - Technik und Wirtschaft";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Moltkestraße 30";76133;Karlsruhe;www.h-ka.de;;1878;;;;
"Hochschule Koblenz";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Konrad-Zuse-Straße 1";56075;Koblenz;www.hs-koblenz.de;;1996;;;;
"Hochschule Konstanz Technik, Wirtschaft und Gestaltung";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Alfred-Wachtel-Straße 8";78462;Konstanz;www.htwg-konstanz.de;;1906;;;;
"Hochschule Landshut - Hochschule für angewandte Wissenschaften";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Am Lurzenhof 1";84036;Landshut;www.haw-landshut.de;;1978;;;;
"Hochschule Macromedia - staatlich anerkannte Hochschule für angewandte Wissenschaften der Macromedia GmbH mit Sitz in Stuttgart";Hochschulen;Fachhochschulen/HAW;"privat, staatlich anerkannt";"Naststraße 11/Im Römerkastell";70376;Stuttgart;www.macromedia-fachhochschule.de;;2006;;;;
"Hochschule Magdeburg-Stendal";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Breitscheidstraße 2";39114;Magdeburg;www.h2.de;;1991;;;;
"Hochschule Mainz";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Lucy-Hillebrand-Straße 2";55128;Mainz;www.hs-mainz.de;;1996;;;;
"Hochschule Mannheim";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Paul-Wittsack-Straße 10";68163;Mannheim;www.hs-mannheim.de;;1898;;;;
"Hochschule Merseburg";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Eberhard-Leibnitz-Straße 2";06217;Merseburg;www.hs-merseburg.de;;1992;;;;
"Hochschule Mittweida, University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Technikumplatz 17";09648;Mittweida;www.hs-mittweida.de;;1867;;;;
"Hochschule Neubrandenburg - University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Brodaer Straße 2";17033;Neubrandenburg;www.hs-nb.de;;1991;;;;
"Hochschule Niederrhein";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Reinarzstraße 49";47805;Krefeld;www.hs-niederrhein.de;;1971;;;;
"Hochschule Nordhausen";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Weinberghof 4";99734;Nordhausen;www.hs-nordhausen.de;;1997;;;;
"Hochschule Osnabrück";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Albrechtstraße 30 ";49076;Osnabrück;www.hs-osnabrueck.de;;1971;;;;
"Hochschule Pforzheim - Gestaltung, Technik, Wirtschaft und Recht";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Tiefenbronner Straße 65";75175;Pforzheim;www.hs-pforzheim.de;;1877;;;;
"Hochschule Ravensburg-Weingarten";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;Doggenriedstraße;88250;Weingarten;www.rwu.de;;1964;;;;
"Hochschule Reutlingen, Hochschule für Technik-  Wirtschaft-Informatik-Design";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Alteburgstraße 150";72762;Reutlingen;www.reutlingen-university.de;;1855;;;;
"Hochschule Rhein-Waal - University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Marie-Curie-Str. 1";47533;Kleve;www.hochschule-rhein-waal.de;;2009;;;;
"Hochschule RheinMain";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Kurt-Schumacher-Ring 18";65197;Wiesbaden;www.hs-rm.de;;1971;;;;
"Hochschule Ruhr West- University of Applied Sciences";Hochschulen;Fachhochschulen/HAW;öffentlich-rechtlich;"Duisburger Straße 100";45479;Mülheim;www.hochschule-ruhr-west.de;;2009;;;;
